"cim","price","infosor","felszereltseg","diler","link","leiras"
"MERCEDES-BENZ A 200 CDI BlueEFFICIENCY Urban 7G-DCT 1 ÉV GARANCIA!!! Gyönyörű!!","5.559.000 Ft","? km-re  ·  2013/4  ·  Dízel  ·  1796 cm³  ·  100 kW (136 LE)  ·  83 468 km","GARANCIÁLIS#KIEMELT#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#HIFI#ISOFIX#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#TEMPOMAT#USB","","https://www.hasznaltauto.hu/auto/mercedes-benz/a_200/mercedes-benz_a_200_cdi_blueefficiency_urban_7g-dct_1_ev_garancia_gyonyoru-12079358","
						Eladó egy gyönyörű állapotban lévő Mercedes-Benz A 200 CDI. Az autó márkakereskedésünkb... (hirdetéskód: 12079358)
					"
"MERCEDES-BENZ B 180 d Style 7G-DCT Mo-i vezetett szervizkönyv","6.790.000 Ft","? km-re  ·  2016/3  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  25 000 km","GARANCIÁLIS#KIEMELT#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#ISOFIX#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#SZÍNEZETT ÜVEG#USB#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/b_180/mercedes-benz_b_180_d_style_7g-dct_mo-i_vezetett_szervizkonyv-11353047","
						Mercedes márkakereskedésből, üléskomfort csomag, tároló csomag, aktív parkoló assziszte... (hirdetéskód: 11353047)
					"
"MERCEDES-BENZ B 180 d Style 7G-DCT Mo-i vezetett szervizkönyv","6.790.000 Ft","? km-re  ·  2016/3  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  40 800 km","GARANCIÁLIS#KIEMELT#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#ISOFIX#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/b_180/mercedes-benz_b_180_d_style_7g-dct_mo-i_vezetett_szervizkonyv-11140235","
						Mercedes márkakereskedésből, Polárezüst metálfényezés, üléskomfort csomag, világítás cs... (hirdetéskód: 11140235)
					"
"MERCEDES-BENZ B 180 d Urban 7G-DCT Mo-i vezetett szervizkönyv","7.090.000 Ft","? km-re  ·  2016/6  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  27 695 km","GARANCIÁLIS#KIEMELT#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#ISOFIX#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/b_180/mercedes-benz_b_180_d_urban_7g-dct_mo-i_vezetett_szervizkonyv-11635240","
						 (hirdetéskód: 11635240)
					"
"MERCEDES-BENZ A 180 Style 7G-DCT netto 5.897.638 Ft + Áfa","7.490.000 Ft","? km-re  ·  2016/10  ·  Benzin  ·  1595 cm³  ·  90 kW (122 LE)  ·  16 000 km","GARANCIÁLIS#KIEMELT#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#DVD#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#ISOFIX#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/a_180/mercedes-benz_a_180_style_7g-dct_netto_5.897.638_ft_plusz_afa-12101698","
						Mercedes márkakereskedésből, üléskomfort csomag, fekete ARTICO/szövet, aktív parkoló as... (hirdetéskód: 12101698)
					"
"MERCEDES-BENZ CLA 200 CDI d Urban 7G-DCT netto 7.236.220 Ft + Áfa","9.190.000 Ft","? km-re  ·  2016/11  ·  Dízel  ·  2143 cm³  ·  100 kW (136 LE)  ·  13 610 km","GARANCIÁLIS#KIEMELT#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#ISOFIX#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/cla_200/mercedes-benz_cla_200_cdi_d_urban_7g-dct_netto_7.236.220_ft_plusz_afa-12095475","
						Mercedes márkakereskedésből, króm csomag, üléskomfort csomag, fekete ARTICO/szövet, akt... (hirdetéskód: 12095475)
					"
"MERCEDES-BENZ A 45 AMG 4Matic 7G-DCT","13.499.000 Ft","? km-re  ·  2016/4  ·  Benzin  ·  1991 cm³  ·  280 kW (381 LE)  ·  34 112 km","GARANCIÁLIS#KIEMELT#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#BŐR#CD-RÁDIÓ#CENTRÁLZÁR#DVD#ESP#FULL#FŰTHETŐ SZÉLVÉDŐ#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#ISOFIX#KIHANGOSÍTÓ#KLÍMA#KÖDLÁMPA#KULCSNÉLKÜLI INDÍTÁS#LÉGZSÁK#MEMO ÜLÉS#MULTI KORMÁNY#NYOMKÖVETŐ#PARKRADAR#RADAR#RÁDIÓ#SPORTFUTÓMŰ#SZÍNEZETT ÜVEG#USB#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/a_45_amg/mercedes-benz_a_45_amg_4matic_7g-dct-12124561","
						Nagy becsben tartott, igazán szeretett autó igényes tulajdonostól eladó. Egyedien össze... (hirdetéskód: 12124561)
					"
"MERCEDES-BENZ CLS 250 BlueTEC d 4Matic (Automata) netto 11.401.570 Ft + Áfa","14.480.000 Ft","? km-re  ·  2016/4  ·  Dízel  ·  2143 cm³  ·  150 kW (204 LE)  ·  38 800 km","GARANCIÁLIS#KIEMELT#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#BŐR#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#ISOFIX#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RÁDIÓ#SPORTFUTÓMŰ#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/cls_250/mercedes-benz_cls_250_bluetec_d_4matic_automata_netto_11.401.570_ft_plusz_afa-11791002","
						AMG Styling, Tükör csomag, Bőrkárpit, Ülésklimatizálás elöl, Tolatókamera, Garmin MAP P... (hirdetéskód: 11791002)
					"
"MERCEDES-BENZ C 250 T BlueTEC d 4Matic 7G-TRONIC Listaár: 21.870.670 Ft","14.490.000 Ft","? km-re  ·  2016/9  ·  Dízel  ·  2143 cm³  ·  150 kW (204 LE)  ·  1 100 km","GARANCIÁLIS#KIEMELT#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#BŐR#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#ISOFIX#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#TEMPOMAT#USB#ÜLÉSHŰTÉS/SZELLŐZTETÉS#VISSZAGURULÁS-GÁTLÓ#VONÓHOROG","","https://www.hasznaltauto.hu/auto/mercedes-benz/c_250/mercedes-benz_c_250_t_bluetec_d_4matic_7g-tronic_listaar_21.870.670_ft-10941290","
						Exclusive külső kivitel, Avantgarde belső csomag, Parkoló csomag, Vezetői segédrendszer... (hirdetéskód: 10941290)
					"
"SKODA FABIA 1.2 TSi Ambition 6500 KM!","2.550.000 Ft","? km-re  ·  2015/10  ·  Benzin  ·  1197 cm³  ·  66 kW (90 LE)  ·  6 484 km","GARANCIÁLIS#ASR#ÁLLÍTHATÓ KORMÁNY#CD-RÁDIÓ#CENTRÁLZÁR#ESP#ISOFIX#KÖDLÁMPA#LÉGZSÁK#PARKRADAR#SZÍNEZETT ÜVEG#USB","","https://www.hasznaltauto.hu/auto/skoda/fabia/skoda_fabia_1.2_tsi_ambition_6500_km-12110499","
						Magyarországi, ÚJSZERŰ állapotban! Igény szerint felnire szerelt téli kerék +80.000Ft!... (hirdetéskód: 12110499)
					"
